(T246,(count: 39, mean: 7.020362, stdev: 0.113995, max: 7.417580, min: 6.897705))
(T138,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T201,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T218,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T24,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T171,(count: 115, mean: 6.984795, stdev: 0.360503, max: 7.837949, min: 6.599870))
(T146,(count: 336, mean: 6.795713, stdev: 0.332444, max: 7.970740, min: 5.926926))
(T30,(count: 409, mean: 7.119251, stdev: 0.242452, max: 8.119696, min: 6.421622))
(T122,(count: 527, mean: 7.202580, stdev: 0.204058, max: 8.237479, min: 6.866933))
(T308,(count: 67, mean: 6.863019, stdev: 0.322670, max: 8.167636, min: 6.421622))
(T65,(count: 357, mean: 6.631597, stdev: 0.371584, max: 8.106213, min: 5.966147))
(T321,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T94,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T41,(count: 74, mean: 7.270715, stdev: 0.247179, max: 7.776954, min: 6.579251))
(T281,(count: 638, mean: 6.429895, stdev: 0.455120, max: 8.040769, min: 5.703782))
(T163,(count: 3286, mean: 6.653737, stdev: 0.391204, max: 8.078688, min: 5.799093))
(T310,(count: 152, mean: 6.055197, stdev: 0.563213, max: 7.583248, min: 5.347108))
(T149,(count: 218, mean: 7.867261, stdev: 0.035148, max: 8.078688, min: 7.813996))
(T315,(count: 86, mean: 6.328998, stdev: 0.329729, max: 7.196687, min: 5.799093))
(T270,(count: 1810, mean: 6.826788, stdev: 0.250778, max: 8.124151, min: 6.345636))
(T220,(count: 35, mean: 7.929929, stdev: 0.158497, max: 8.479491, min: 7.801800))
(T128,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T13,(count: 101, mean: 6.167669, stdev: 0.542396, max: 7.503841, min: 4.499810))
(T242,(count: 796, mean: 6.398565, stdev: 0.378703, max: 8.154788, min: 5.799093))
(T231,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T304,(count: 100, mean: 6.351223, stdev: 0.504991, max: 7.478735, min: 5.010635))
(T199,(count: 291, mean: 6.973487, stdev: 0.285570, max: 8.217439, min: 6.514713))
(T61,(count: 386, mean: 6.517643, stdev: 0.410254, max: 7.960324, min: 5.480639))
(T72,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T117,(count: 16, mean: 7.030631, stdev: 0.419321, max: 7.776954, min: 6.371612))
(T52,(count: 942, mean: 6.552082, stdev: 0.415415, max: 7.901007, min: 5.843544))
(T168,(count: 156, mean: 6.837789, stdev: 0.318704, max: 8.078688, min: 6.263398))
(T83,(count: 922, mean: 6.989888, stdev: 0.198825, max: 8.137396, min: 6.599870))
(T178,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T206,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T326,(count: 127, mean: 6.447505, stdev: 0.466032, max: 7.528332, min: 5.416100))
(T90,(count: 11, mean: 6.813836, stdev: 0.208620, max: 7.196687, min: 6.558198))
(T319,(count: 7, mean: 7.323322, stdev: 0.184077, max: 7.590852, min: 7.038784))
(T262,(count: 186, mean: 6.648030, stdev: 0.320603, max: 7.878534, min: 6.204558))
(T234,(count: 1409, mean: 6.566642, stdev: 0.431596, max: 8.167636, min: 5.598422))
(T57,(count: 243, mean: 7.245890, stdev: 0.205291, max: 8.261010, min: 6.751101))
(T251,(count: 262, mean: 6.432163, stdev: 0.504377, max: 7.901007, min: 4.499810))
(T27,(count: 15, mean: 5.561046, stdev: 0.989120, max: 7.928406, min: 4.317488))
(T38,(count: 185, mean: 6.169440, stdev: 0.359133, max: 7.981050, min: 5.886104))
(T8,(count: 14, mean: 6.570842, stdev: 0.534337, max: 7.251345, min: 5.598422))
(T49,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T100,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T16,(count: 360, mean: 7.450487, stdev: 0.110772, max: 8.444622, min: 7.313220))
(T196,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T158,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T159,(count: 260, mean: 6.365106, stdev: 0.382607, max: 7.628031, min: 5.843544))
(T211,(count: 185, mean: 7.748394, stdev: 0.151273, max: 8.470102, min: 7.544332))
(T245,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T85,(count: 1344, mean: 6.594375, stdev: 0.325142, max: 8.184514, min: 5.926926))
(T301,(count: 469, mean: 7.145319, stdev: 0.130031, max: 8.201112, min: 6.998510))
(T63,(count: 98, mean: 6.945855, stdev: 0.310475, max: 8.171882, min: 6.173786))
(T147,(count: 4175, mean: 6.261781, stdev: 0.569962, max: 8.115222, min: 5.105945))
(T226,(count: 618, mean: 6.421301, stdev: 0.428126, max: 8.092545, min: 5.752573))
(T107,(count: 386, mean: 6.542007, stdev: 0.383005, max: 8.040769, min: 5.347108))
(T254,(count: 1279, mean: 6.085436, stdev: 0.671403, max: 8.110728, min: 4.317488))
(T223,(count: 544, mean: 7.648534, stdev: 0.111755, max: 8.192847, min: 7.452982))
(T237,(count: 39, mean: 6.371941, stdev: 0.321369, max: 7.293018, min: 5.926926))
(T185,(count: 37, mean: 6.491147, stdev: 0.501077, max: 7.575585, min: 5.192957))
(T71,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T193,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T312,(count: 95, mean: 6.427056, stdev: 0.327163, max: 7.789455, min: 6.003887))
(T294,(count: 37, mean: 6.252793, stdev: 0.378443, max: 7.282761, min: 5.752573))
(T182,(count: 9, mean: 6.219452, stdev: 1.059631, max: 7.090077, min: 3.401197))
(T77,(count: 1552, mean: 5.973502, stdev: 0.791274, max: 7.970740, min: 3.401197))
(T136,(count: 370, mean: 5.962282, stdev: 0.531816, max: 7.889834, min: 4.905275))
(T96,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T287,(count: 16, mean: 5.683238, stdev: 1.234164, max: 7.878534, min: 3.806662))
(T1,(count: 1086, mean: 6.711531, stdev: 0.446846, max: 7.996317, min: 5.273000))
(T88,(count: 619, mean: 6.880924, stdev: 0.341039, max: 8.245384, min: 6.318968))
(T111,(count: 345, mean: 6.071115, stdev: 0.392215, max: 8.163371, min: 5.480639))
(T35,(count: 248, mean: 7.001994, stdev: 0.306311, max: 8.146130, min: 6.579251))
(T121,(count: 274, mean: 6.615719, stdev: 0.455768, max: 8.001355, min: 5.752573))
(T273,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T175,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T99,(count: 923, mean: 6.435173, stdev: 0.419995, max: 8.154788, min: 5.480639))
(T265,(count: 116, mean: 6.552426, stdev: 0.291761, max: 7.912057, min: 6.263398))
(T276,(count: 564, mean: 6.845019, stdev: 0.256673, max: 8.192847, min: 6.345636))
(T248,(count: 910, mean: 6.401909, stdev: 0.429269, max: 8.159089, min: 5.652489))
(T215,(count: 372, mean: 5.836997, stdev: 0.709047, max: 7.970740, min: 4.499810))
(T46,(count: 688, mean: 6.155646, stdev: 0.492042, max: 8.069342, min: 5.273000))
(T207,(count: 615, mean: 7.316032, stdev: 0.196995, max: 8.364042, min: 7.090077))
(T148,(count: 249, mean: 7.484595, stdev: 0.166450, max: 8.257126, min: 7.150701))
(T66,(count: 235, mean: 7.319375, stdev: 0.198246, max: 8.110728, min: 6.851185))
(T82,(count: 260, mean: 6.667954, stdev: 0.356685, max: 8.196988, min: 5.966147))
(T189,(count: 734, mean: 6.174517, stdev: 0.537781, max: 7.986165, min: 4.653960))
(T40,(count: 794, mean: 6.757356, stdev: 0.441146, max: 8.201112, min: 5.752573))
(T137,(count: 421, mean: 7.024563, stdev: 0.230689, max: 7.928406, min: 6.599870))
(T298,(count: 747, mean: 6.443573, stdev: 0.431346, max: 7.981050, min: 5.541264))
(T164,(count: 229, mean: 6.155944, stdev: 0.695499, max: 7.832014, min: 4.317488))
(T283,(count: 796, mean: 6.367235, stdev: 0.479210, max: 7.933797, min: 5.192957))
(T60,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T31,(count: 374, mean: 7.166138, stdev: 0.227367, max: 7.996317, min: 6.536692))
(T244,(count: 11, mean: 6.586747, stdev: 0.697482, max: 7.843849, min: 5.416100))
(T131,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T309,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T272,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T153,(count: 66, mean: 6.584817, stdev: 0.390733, max: 7.731931, min: 5.347108))
(T203,(count: 317, mean: 6.558891, stdev: 0.468549, max: 8.180321, min: 5.192957))
(T219,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T320,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T42,(count: 59, mean: 6.267529, stdev: 0.781302, max: 8.141772, min: 4.653960))
(T230,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T280,(count: 280, mean: 7.201616, stdev: 0.265263, max: 8.291547, min: 6.851185))
(T28,(count: 4423, mean: 6.454924, stdev: 0.595424, max: 8.171882, min: 3.806662))
(T142,(count: 2770, mean: 6.612107, stdev: 0.445738, max: 8.209308, min: 5.752573))
(T118,(count: 369, mean: 6.219601, stdev: 0.449060, max: 7.764296, min: 5.652489))
(T327,(count: 19, mean: 7.191076, stdev: 0.200272, max: 7.495542, min: 6.697034))
(T53,(count: 584, mean: 6.367178, stdev: 0.391259, max: 8.124151, min: 5.652489))
(T169,(count: 513, mean: 7.155464, stdev: 0.245455, max: 8.291547, min: 6.558198))
(T23,(count: 10, mean: 6.296507, stdev: 0.530485, max: 7.552237, min: 5.799093))
(T291,(count: 1400, mean: 6.505486, stdev: 0.494587, max: 8.087948, min: 5.347108))
(T51,(count: 435, mean: 7.268613, stdev: 0.218546, max: 8.339262, min: 6.942157))
(T305,(count: 2000, mean: 6.779534, stdev: 0.366413, max: 8.276395, min: 6.109248))
(T74,(count: 21, mean: 7.275555, stdev: 0.199557, max: 7.789455, min: 7.077498))
(T316,(count: 252, mean: 6.398348, stdev: 0.410579, max: 7.620705, min: 5.799093))
(T12,(count: 411, mean: 6.519743, stdev: 0.406226, max: 8.055158, min: 5.541264))
(T129,(count: 42, mean: 6.306069, stdev: 0.572129, max: 7.207860, min: 4.787492))
(T93,(count: 571, mean: 6.892824, stdev: 0.217357, max: 7.849714, min: 6.445720))
(T241,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T200,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T210,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T249,(count: 1617, mean: 6.448286, stdev: 0.468615, max: 8.124151, min: 5.416100))
(T81,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T274,(count: 3768, mean: 6.259314, stdev: 0.548226, max: 8.137396, min: 4.787492))
(T43,(count: 3104, mean: 6.906894, stdev: 0.310931, max: 8.217439, min: 6.396930))
(T92,(count: 476, mean: 7.106448, stdev: 0.091598, max: 7.949797, min: 6.970730))
(T5,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T192,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T17,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T317,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T222,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T126,(count: 51, mean: 6.968366, stdev: 0.381575, max: 7.986165, min: 6.291569))
(T277,(count: 30, mean: 7.306315, stdev: 0.223765, max: 7.996317, min: 6.984716))
(T181,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T300,(count: 168, mean: 7.086269, stdev: 0.124506, max: 7.895436, min: 6.751101))
(T216,(count: 22, mean: 6.217897, stdev: 0.642414, max: 7.272398, min: 5.010635))
(T227,(count: 696, mean: 6.630982, stdev: 0.409498, max: 8.026170, min: 5.966147))
(T140,(count: 37, mean: 6.762014, stdev: 0.545147, max: 7.528332, min: 5.105945))
(T302,(count: 249, mean: 6.696733, stdev: 0.377598, max: 7.996317, min: 6.109248))
(T32,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T119,(count: 44, mean: 6.504583, stdev: 0.413688, max: 7.656810, min: 5.886104))
(T186,(count: 309, mean: 7.230767, stdev: 0.212684, max: 8.124151, min: 6.751101))
(T70,(count: 363, mean: 6.238540, stdev: 0.492714, max: 7.801800, min: 4.905275))
(T58,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T67,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T324,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T208,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T47,(count: 239, mean: 6.576281, stdev: 0.414079, max: 8.257126, min: 6.142037))
(T263,(count: 538, mean: 6.307265, stdev: 0.433683, max: 7.901007, min: 5.416100))
(T104,(count: 1, mean: 6.897705, stdev: 0.000000, max: 6.897705, min: 6.897705))
(T255,(count: 8, mean: 6.679982, stdev: 0.564840, max: 8.115222, min: 6.204558))
(T176,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T322,(count: 170, mean: 7.042961, stdev: 0.125415, max: 7.718685, min: 6.639876))
(T313,(count: 37, mean: 6.387170, stdev: 0.354853, max: 7.261927, min: 6.003887))
(T266,(count: 183, mean: 5.769171, stdev: 0.830582, max: 7.478735, min: 4.317488))
(T238,(count: 2, mean: 6.380410, stdev: 0.088841, max: 6.469250, min: 6.291569))
(T311,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T252,(count: 743, mean: 6.574991, stdev: 0.351650, max: 8.167636, min: 6.040255))
(T295,(count: 21, mean: 7.066335, stdev: 0.382448, max: 8.035926, min: 6.579251))
(T288,(count: 149, mean: 6.228084, stdev: 0.697352, max: 8.006368, min: 4.653960))
(T306,(count: 645, mean: 6.310423, stdev: 0.487387, max: 7.912057, min: 5.416100))
(T36,(count: 396, mean: 7.918766, stdev: 0.120318, max: 8.531096, min: 7.764296))
(T233,(count: 865, mean: 6.668864, stdev: 0.305633, max: 8.196988, min: 6.142037))
(T120,(count: 307, mean: 6.561761, stdev: 0.347963, max: 7.917536, min: 5.886104))
(T197,(count: 238, mean: 8.231326, stdev: 0.100942, max: 8.781095, min: 8.110728))
(T151,(count: 13, mean: 6.402929, stdev: 0.500855, max: 7.452982, min: 5.843544))
(T115,(count: 92, mean: 6.605497, stdev: 0.231860, max: 7.795647, min: 6.109248))
(T54,(count: 589, mean: 6.879857, stdev: 0.266669, max: 8.205218, min: 6.492240))
(T133,(count: 5, mean: 6.729133, stdev: 0.208379, max: 7.051856, min: 6.445720))
(T204,(count: 140, mean: 5.687393, stdev: 0.730714, max: 7.282761, min: 4.094345))
(T323,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T194,(count: 3138, mean: 6.656968, stdev: 0.393145, max: 8.241440, min: 6.003887))
(T243,(count: 254, mean: 6.654356, stdev: 0.392371, max: 7.970740, min: 6.040255))
(T132,(count: 2178, mean: 6.685437, stdev: 0.416041, max: 8.205218, min: 6.075346))
(T103,(count: 482, mean: 7.236858, stdev: 0.239169, max: 8.287780, min: 6.897705))
(T125,(count: 6, mean: 6.533616, stdev: 0.436521, max: 7.417580, min: 6.109248))
(T232,(count: 3165, mean: 6.351287, stdev: 0.732045, max: 8.154788, min: 4.094345))
(T26,(count: 211, mean: 6.551467, stdev: 0.353129, max: 7.912057, min: 5.703782))
(T15,(count: 923, mean: 7.060294, stdev: 0.246911, max: 8.124151, min: 6.697034))
(T299,(count: 42, mean: 7.099958, stdev: 0.560759, max: 8.163371, min: 6.040255))
(T259,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T110,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T284,(count: 2335, mean: 6.337520, stdev: 0.574720, max: 8.101678, min: 4.787492))
(T78,(count: 197, mean: 6.716635, stdev: 0.381981, max: 8.006368, min: 6.204558))
(T9,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T50,(count: 1182, mean: 7.097178, stdev: 0.215281, max: 8.237479, min: 6.751101))
(T4,(count: 2085, mean: 6.164152, stdev: 0.653042, max: 8.083329, min: 4.787492))
(T22,(count: 88, mean: 6.357260, stdev: 0.499917, max: 7.801800, min: 5.416100))
(T143,(count: 66, mean: 6.574368, stdev: 0.345294, max: 7.528332, min: 6.109248))
(T154,(count: 818, mean: 6.655272, stdev: 0.380848, max: 8.192847, min: 5.966147))
(T183,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T240,(count: 269, mean: 6.754346, stdev: 0.271600, max: 7.928406, min: 6.421622))
(T290,(count: 797, mean: 6.454837, stdev: 0.429098, max: 8.040769, min: 5.843544))
(T114,(count: 360, mean: 6.567429, stdev: 0.413114, max: 8.101678, min: 5.347108))
(T180,(count: 785, mean: 6.484449, stdev: 0.471917, max: 8.163371, min: 5.541264))
(T11,(count: 433, mean: 7.354328, stdev: 0.218625, max: 8.328451, min: 6.866933))
(T141,(count: 21, mean: 7.032849, stdev: 0.311757, max: 7.757906, min: 6.599870))
(T303,(count: 510, mean: 6.098696, stdev: 0.633642, max: 8.026170, min: 3.806662))
(T33,(count: 816, mean: 6.891314, stdev: 0.302432, max: 8.137396, min: 6.345636))
(T318,(count: 81, mean: 6.768910, stdev: 0.480418, max: 7.698483, min: 5.652489))
(T267,(count: 606, mean: 6.156464, stdev: 0.530134, max: 8.119696, min: 5.416100))
(T127,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T286,(count: 223, mean: 6.579592, stdev: 0.373690, max: 7.965546, min: 5.926926))
(T209,(count: 572, mean: 6.082757, stdev: 0.714628, max: 8.087948, min: 4.905275))
(T217,(count: 183, mean: 7.656059, stdev: 0.177339, max: 8.470102, min: 7.417580))
(T48,(count: 899, mean: 6.467223, stdev: 0.438140, max: 8.137396, min: 5.598422))
(T228,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T256,(count: 2277, mean: 6.874399, stdev: 0.364411, max: 8.097122, min: 6.109248))
(T116,(count: 20, mean: 6.787099, stdev: 0.388223, max: 8.163371, min: 6.291569))
(T221,(count: 3408, mean: 6.543208, stdev: 0.435314, max: 8.192847, min: 5.541264))
(T191,(count: 742, mean: 6.419145, stdev: 0.643458, max: 8.154788, min: 4.787492))
(T73,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T84,(count: 47, mean: 7.568062, stdev: 0.204019, max: 8.059908, min: 7.333023))
(T253,(count: 88, mean: 7.355601, stdev: 0.152545, max: 7.928406, min: 7.162397))
(T68,(count: 468, mean: 6.621572, stdev: 0.418231, max: 8.106213, min: 5.886104))
(T296,(count: 1185, mean: 6.753997, stdev: 0.303726, max: 7.965546, min: 5.703782))
(T155,(count: 117, mean: 6.732348, stdev: 0.302344, max: 7.691657, min: 6.204558))
(T275,(count: 1357, mean: 6.288058, stdev: 0.463831, max: 8.154788, min: 5.192957))
(T6,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T190,(count: 736, mean: 6.666540, stdev: 0.387750, max: 8.146130, min: 6.109248))
(T37,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T86,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T269,(count: 307, mean: 6.283789, stdev: 0.496154, max: 7.922986, min: 5.416100))
(T307,(count: 330, mean: 7.298999, stdev: 0.186539, max: 8.021256, min: 7.038784))
(T18,(count: 495, mean: 7.190362, stdev: 0.215633, max: 8.115222, min: 6.851185))
(T152,(count: 104, mean: 6.611550, stdev: 0.408095, max: 8.074026, min: 5.966147))
(T314,(count: 629, mean: 6.448095, stdev: 0.447837, max: 7.991254, min: 5.703782))
(T278,(count: 605, mean: 6.304096, stdev: 0.376891, max: 7.807917, min: 5.416100))
(T213,(count: 54, mean: 7.017099, stdev: 0.403040, max: 8.016318, min: 6.371612))
(T161,(count: 338, mean: 6.942745, stdev: 0.252015, max: 7.991254, min: 6.599870))
(T95,(count: 57, mean: 5.959872, stdev: 1.345133, max: 7.725330, min: 3.401197))
(T166,(count: 745, mean: 6.948197, stdev: 0.284768, max: 8.233503, min: 6.492240))
(T239,(count: 95, mean: 6.722463, stdev: 0.338875, max: 8.141772, min: 6.345636))
(T144,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T59,(count: 180, mean: 7.836483, stdev: 0.133778, max: 8.321178, min: 7.613325))
(T139,(count: 14, mean: 6.710814, stdev: 0.414957, max: 7.813996, min: 5.966147))
(T130,(count: 488, mean: 6.711084, stdev: 0.399425, max: 8.261010, min: 6.109248))
(T325,(count: 324, mean: 6.317109, stdev: 0.509227, max: 8.101678, min: 4.499810))
(T173,(count: 666, mean: 7.168606, stdev: 0.194726, max: 8.283999, min: 6.866933))
(T75,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T289,(count: 92, mean: 6.262473, stdev: 0.614081, max: 7.807917, min: 3.806662))
(T29,(count: 3403, mean: 7.091195, stdev: 0.269743, max: 8.299037, min: 6.639876))
(T264,(count: 1867, mean: 6.136913, stdev: 0.630314, max: 7.975908, min: 4.653960))
(T162,(count: 794, mean: 6.533345, stdev: 0.384655, max: 8.035926, min: 5.652489))
(T172,(count: 733, mean: 6.571684, stdev: 0.491297, max: 8.045588, min: 5.703782))
(T271,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T14,(count: 78, mean: 7.451707, stdev: 0.347073, max: 8.342840, min: 7.038784))
(T260,(count: 392, mean: 6.892808, stdev: 0.163413, max: 7.878534, min: 6.579251))
(T91,(count: 1908, mean: 6.946309, stdev: 0.297471, max: 8.221479, min: 6.445720))
(T258,(count: 619, mean: 5.997346, stdev: 0.667069, max: 8.055158, min: 4.317488))
(T170,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T109,(count: 655, mean: 6.125338, stdev: 0.612750, max: 7.933797, min: 4.905275))
(T124,(count: 187, mean: 7.118829, stdev: 0.254476, max: 8.154788, min: 6.715383))
(T55,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T134,(count: 143, mean: 7.070796, stdev: 0.199604, max: 8.059908, min: 6.851185))
(T25,(count: 531, mean: 6.301442, stdev: 0.477920, max: 8.124151, min: 5.105945))
(T187,(count: 1, mean: 6.003887, stdev: 0.000000, max: 6.003887, min: 6.003887))
(T177,(count: 3687, mean: 6.339867, stdev: 0.546809, max: 8.154788, min: 4.787492))
(T174,(count: 26, mean: 8.735299, stdev: 0.075205, max: 8.906529, min: 8.618847))
(T293,(count: 2893, mean: 7.355752, stdev: 0.223745, max: 8.342840, min: 6.970730))
(T285,(count: 138, mean: 6.222792, stdev: 0.590422, max: 7.770645, min: 4.499810))
(T79,(count: 100, mean: 6.734639, stdev: 0.482881, max: 7.933797, min: 5.598422))
(T62,(count: 269, mean: 6.380894, stdev: 0.472920, max: 7.895436, min: 5.010635))
(T113,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
